Y,R,GPNAME,P1,P2,P3,RATING
2012,6,Monaco GP,Webber,Rosberg,Alonso,5.436
2012,7,Canadian GP,Hamilton,Grosjean,Perez,8.197
2012,8,European GP,Alonso,Raikkonen,Schumacher,8.784
2012,9,British GP,Webber,Alonso,Vettel,7.048
2013,1,Australian GP,Raikkonen,Alonso,Vettel,7.698
2013,10,Hungarian GP,Hamilton,Raikkonen,Vettel,7.677
2013,11,Belgian GP,Vettel,Alonso,Hamilton,5.688
2013,12,Italian GP,Vettel,Alonso,Webber,5.84
2013,13,Singapore GP,Vettel,Alonso,Raikkonen,5.973
2013,14,Korean GP,Vettel,Raikkonen,Grosjean,7.351
2013,15,Japanese GP,Vettel,Webber,Grosjean,7.338
2013,16,Indian GP,Vettel,Rosberg,Grosjean,6.502
2013,17,Abu Dhabi GP,Vettel,Webber,Rosberg,5.017
2013,18,United States GP,Vettel,Grosjean,Webber,5.396
2013,19,Brazilian GP,Vettel,Webber,Alonso,7.144
2013,2,Malaysian GP,Vettel,Webber,Hamilton,6.826
2013,3,Chinese GP,Alonso,Raikkonen,Hamilton,7.412
2013,4,Bahrain GP,Vettel,Raikkonen,Grosjean,7.826
2013,5,Spanish GP,Alonso,Raikkonen,Massa,5.947
2013,6,Monaco GP,Rosberg,Vettel,Webber,6.132
2013,7,Canadian GP,Vettel,Alonso,Hamilton,6.329
2013,8,British GP,Rosberg,Webber,Alonso,7.394
2013,9,German GP,Vettel,Raikkonen,Grosjean,7.643
2014,1,Australian GP,Rosberg,Ricciardo,Magnussen,6.89
2014,10,German GP,Rosberg,Bottas,Hamilton,7.86
2014,11,Hungarian GP,Ricciardo,Alonso,Hamilton,9.14
2014,12,Belgian GP,Ricciardo,Rosberg,Bottas,7.76
2014,13,Italian GP,Hamilton,Rosberg,Massa,7.42
2014,14,Singapore GP,Hamilton,Vettel,Ricciardo,6.43
2014,16,Russian GP,Hamilton,Rosberg,Bottas,4.06
2014,17,United States GP,Hamilton,Rosberg,Ricciardo,7.33
2014,18,Brazilian GP,Rosberg,Hamilton,Massa,7.22
2014,19,Abu Dhabi GP,Hamilton,Massa,Bottas,6.49
2014,2,Malaysian GP,Hamilton,Rosberg,Vettel,5.9
2014,3,Bahrain GP,Hamilton,Rosberg,Perez,9.095
2014,4,Chinese GP,Hamilton,Rosberg,Alonso,5.47
2014,5,Spanish GP,Hamilton,Rosberg,Ricciardo,6.45
2014,6,Monaco GP,Rosberg,Hamilton,Ricciardo,7.04
2014,7,Canadian GP,Ricciardo,Rosberg,Vettel,9.19
2014,8,Austrian GP,Rosberg,Hamilton,Bottas,6.7
2014,9,British GP,Hamilton,Bottas,Ricciardo,7.85
